frame,player_id,x_center,y_center
0,0,829,518
0,1,449,193
0,2,856,217
0,3,424,461
0,4,165,306
0,5,1111,394
0,6,718,105
0,7,900,150
0,8,387,185
0,9,739,228
0,10,1157,295
0,11,1254,178
0,12,556,474
0,13,570,119
0,14,650,258
0,15,517,474
1,0,839,514
1,5,1118,392
1,3,432,459
1,8,400,185
1,1,461,193
1,4,179,306
1,12,554,473
1,2,864,217
1,9,746,228
1,6,731,105
1,13,583,120
1,7,911,151
1,10,1167,297
1,11,1266,179
1,15,517,476
1,16,824,511
1,14,522,475
2,4,189,305
2,0,848,512
2,5,1121,391
2,1,474,193
2,8,413,185
2,9,756,228
2,3,437,458
2,13,594,120
2,2,876,218
2,7,922,150
2,6,744,105
2,14,553,473
2,10,1175,298
2,11,1273,183
2,12,519,472
2,15,523,489
3,2,888,216
3,0,855,507
3,11,1108,391
3,4,199,306
3,1,487,193
3,13,607,121
3,3,446,458
3,8,427,185
3,9,767,228
3,6,755,105
3,7,934,150
3,10,1181,298
3,14,553,472
3,12,520,474
4,4,208,306
4,9,777,229
4,2,899,217
4,11,1111,392
4,0,862,503
4,1,499,193
4,13,620,122
4,3,457,457
4,8,438,185
4,10,1190,298
4,7,947,151
4,6,767,105
4,14,555,473
4,12,517,472
5,2,908,216
5,0,868,503
5,13,633,121
5,9,788,229
5,1,511,193
5,4,215,307
5,3,462,456
5,11,1117,394
5,10,1201,298
5,7,959,151
5,8,449,184
5,12,519,467
5,6,778,105
5,14,562,470
5,17,521,476
5,18,560,491
6,0,877,501
6,9,799,230
6,1,522,192
6,13,644,121
6,2,918,217
6,7,972,151
6,4,222,306
6,10,1213,297
6,3,467,456
6,8,459,184
6,14,566,469
6,6,791,105
6,11,1123,395
6,12,721,261
6,17,523,480
7,3,473,454
7,0,886,500
7,2,930,217
7,10,1222,298
7,13,656,121
7,12,733,261
7,1,533,192
7,4,229,305
7,7,984,152
7,9,809,231
7,14,574,465
7,8,470,184
7,11,1137,392
7,17,527,481
7,6,804,105
8,10,1231,299
8,2,941,218
8,0,893,499
8,4,239,304
8,7,997,152
8,13,666,120
8,3,484,454
8,11,1137,393
8,8,482,184
8,1,543,192
8,14,578,461
8,9,818,232
8,6,816,105
8,12,746,261
8,17,529,481
8,19,1140,405
9,0,900,494
9,4,250,304
9,2,950,218
9,10,1241,301
9,7,1009,154
9,13,678,121
9,17,536,479
9,3,489,453
9,1,557,192
9,11,1144,395
9,6,828,107
9,9,826,231
9,8,495,185
9,14,583,459
9,12,760,261
10,0,906,490
10,4,260,304
10,7,1021,154
10,13,690,120
10,1,569,192
10,14,592,458
10,6,841,107
10,8,506,185
10,2,958,218
10,9,836,232
10,3,495,451
10,10,1254,302
10,11,1152,392
10,12,773,261
10,17,541,479
11,0,911,489
11,4,266,304
11,11,1154,392
11,1,583,192
11,2,969,217
11,8,518,185
11,14,596,460
11,7,1033,154
11,3,499,447
11,13,703,121
11,6,855,107
11,9,847,232
11,10,1259,303
11,12,786,261
11,17,543,467
12,11,1142,393
12,2,980,218
12,13,716,122
12,1,596,193
12,9,858,232
12,8,531,186
12,0,915,489
12,4,275,304
12,14,598,463
12,7,1046,154
12,6,868,107
12,10,1263,303
12,3,505,447
13,14,602,464
13,0,921,490
13,7,1060,154
13,1,607,193
13,9,867,232
13,11,1153,395
13,2,992,218
13,4,283,305
13,8,543,187
13,13,728,122
13,6,880,107
13,10,1270,295
13,3,518,444
13,20,539,470
14,0,928,489
14,9,876,233
14,2,1001,218
14,1,619,194
14,11,1156,397
14,14,609,459
14,7,1072,155
14,4,288,305
14,8,554,187
14,13,740,124
14,6,891,108
14,3,526,448
14,10,1274,295
14,20,821,261
15,2,1010,219
15,7,1084,155
15,14,611,456
15,1,631,195
15,4,292,305
15,9,886,234
15,10,1159,399
15,8,567,188
15,6,902,109
15,13,750,125
15,0,934,486
15,21,919,487
15,11,550,466
15,22,547,477
15,23,529,453
15,3,546,444
15,20,943,488
15,24,917,494
15,25,520,453
16,2,1020,220
16,7,1095,156
16,1,642,195
16,9,896,235
16,13,762,125
16,10,1171,400
16,4,300,305
16,14,612,457
16,6,912,108
16,21,926,473
16,8,577,188
16,22,546,461
16,24,918,503
16,23,533,470
17,4,309,306
17,7,1105,159
17,10,1170,399
17,14,615,455
17,1,653,196
17,9,903,237
17,2,1031,222
17,13,772,126
17,6,924,109
17,8,586,188
17,22,564,451
17,21,928,482
17,26,939,482
17,24,921,502
17,23,541,479
18,4,314,306
18,7,1117,161
18,10,1173,401
18,2,1039,223
18,1,661,196
18,9,908,236
18,6,935,110
18,8,596,190
18,14,619,455
18,13,782,127
18,26,944,482
18,22,562,453
18,21,933,483
18,23,549,480
18,24,929,486
19,4,319,307
19,26,944,483
19,10,1180,400
19,7,1129,163
19,2,1044,223
19,6,946,111
19,9,914,237
19,1,672,197
19,23,527,485
19,27,623,455
19,22,570,455
19,13,793,127
19,8,607,190
19,14,620,468
19,28,871,265
20,10,1181,400
20,4,326,309
20,7,1140,165
20,2,1052,223
20,26,940,482
20,6,955,113
20,9,923,238
20,22,577,454
20,8,616,191
20,23,526,490
20,28,881,266
20,1,680,197
20,13,804,127
20,27,626,455
21,10,1180,400
21,26,945,483
21,7,1150,166
21,4,333,310
21,8,624,192
21,6,965,113
21,2,1063,223
21,22,579,454
21,1,691,197
21,27,632,457
21,9,931,238
21,13,813,128
21,23,532,488
21,28,891,267
22,10,1180,401
22,26,948,482
22,27,640,458
22,8,632,193
22,7,1161,166
22,2,1070,225
22,22,584,452
22,23,536,490
22,6,973,115
22,4,337,310
22,13,822,129
22,1,699,198
22,9,938,239
22,28,900,268
23,22,587,450
23,26,944,478
23,10,1181,403
23,2,1075,225
23,8,640,193
23,7,1169,166
23,27,643,457
23,1,706,198
23,4,338,309
23,6,979,115
23,9,942,240
23,13,828,129
23,23,533,490
23,28,908,269
24,22,588,450
24,10,1181,404
24,26,938,476
24,2,1077,226
24,27,643,455
24,8,645,193
24,4,338,309
24,7,1174,166
24,23,538,490
24,13,832,129
24,1,710,199
24,6,983,116
24,9,944,241
24,28,913,269
25,27,642,455
25,22,581,450
25,26,931,475
25,4,336,309
25,2,1079,226
25,7,1177,166
25,1,712,199
25,8,647,194
25,23,530,491
25,6,985,115
25,13,834,130
25,9,943,242
25,28,1177,397
25,10,1170,423
26,27,637,456
26,22,578,450
26,4,330,309
26,10,1169,404
26,7,1180,166
26,26,918,475
26,1,713,199
26,23,529,490
26,8,648,193
26,2,1076,226
26,9,940,241
26,6,986,114
26,29,984,122
26,13,836,131
27,4,325,310
27,26,905,476
27,22,578,452
27,10,1162,404
27,1,713,199
27,7,1182,166
27,13,836,131
27,2,1073,230
27,27,629,453
27,6,983,116
27,8,647,193
27,9,936,242
27,23,520,489
28,10,1149,404
28,26,897,475
28,4,322,311
28,23,513,487
28,22,576,452
28,13,836,132
28,27,618,456
28,6,982,117
28,1,713,199
28,2,1071,230
28,7,1186,167
28,9,932,242
28,8,645,192
29,10,1137,404
29,27,613,459
29,4,318,312
29,22,574,452
29,2,1067,229
29,13,834,132
29,23,508,487
29,6,981,117
29,7,1186,167
29,1,711,199
29,8,642,192
29,9,929,241
29,30,874,461
29,31,517,478
29,26,881,468
29,32,863,493
30,10,1128,404
30,23,505,485
30,4,314,312
30,22,573,451
30,2,1064,229
30,1,709,198
30,6,979,118
30,13,833,132
30,7,1186,168
30,30,857,458
30,26,854,474
30,9,926,242
30,27,612,458
30,8,640,193
30,32,847,489
31,4,309,312
31,23,503,484
31,10,1119,406
31,1,706,197
31,6,977,118
31,13,831,130
31,7,1186,169
31,2,1060,229
31,22,570,450
31,26,842,468
31,8,637,193
31,9,918,226
31,30,853,458
32,10,1113,406
32,23,499,483
32,6,975,118
32,2,1056,230
32,4,304,312
32,7,1185,169
32,13,830,130
32,8,632,193
32,22,576,451
32,1,703,198
32,26,824,496
32,9,911,231
32,30,841,457
32,33,589,479
33,10,1110,405
33,22,575,452
33,6,972,119
33,23,493,481
33,4,298,313
33,2,1052,230
33,8,630,194
33,7,1184,169
33,1,699,197
33,13,828,130
33,9,905,244
33,26,835,471
33,30,822,472
33,33,588,466
34,23,488,479
34,2,1050,231
34,22,566,457
34,26,819,469
34,10,1107,405
34,4,293,314
34,6,971,118
34,8,628,194
34,7,1184,169
34,13,825,130
34,1,696,197
34,9,900,247
34,33,591,450
35,23,485,478
35,4,285,315
35,2,1046,232
35,22,558,456
35,8,627,194
35,26,810,465
35,6,970,118
35,7,1184,169
35,10,1104,405
35,1,693,198
35,13,822,130
35,9,896,245
35,33,594,445
36,23,483,478
36,22,553,457
36,4,279,315
36,26,798,462
36,1,692,198
36,2,1044,232
36,8,626,194
36,6,969,118
36,33,595,445
36,9,892,244
36,7,1185,169
36,13,821,131
36,10,1101,391
36,34,1088,420
36,35,1274,348
37,23,481,478
37,22,552,456
37,4,273,316
37,1,690,198
37,8,624,195
37,33,598,446
37,2,1041,232
37,6,968,118
37,9,889,244
37,26,785,462
37,7,1187,169
37,34,1082,417
37,13,819,131
37,35,1273,330
37,10,1098,390
37,36,1093,397
38,23,477,480
38,22,551,457
38,4,270,317
38,1,689,199
38,33,601,448
38,2,1040,233
